year,scope1_2_target_tCO2e,scope3_cat11_target_tCO2e,scope3_other_target_tCO2e,scope3_total_target_tCO2e,total_target_tCO2e,annual_reduction_required_tCO2e
2023,56315.9,198400.0,491570.0,689970.0,746285.9,0.0
2024,52936.9,186921.1,474013.9,660935.1,713872.0,32413.9
2025,49558.0,175442.3,456457.9,631900.1,681458.1,32413.9
2026,46179.0,163963.4,438901.8,602865.2,649044.2,32413.9
2027,42800.1,152484.6,421345.7,573830.3,616630.4,32413.9
2028,39421.1,141005.7,403789.6,544795.4,584216.5,32413.9
2029,36042.2,129526.9,386233.6,515760.4,551802.6,32413.9
2030,32663.2,118048.0,368677.5,486725.5,519388.7,32413.9
2031,31311.6,113137.6,352701.5,465839.1,497150.7,22238.0
2032,29960.0,108227.2,336725.5,444952.7,474912.7,22238.0
2033,28608.5,103316.8,320749.4,424066.2,452674.7,22238.0
2034,27256.9,98406.4,304773.4,403179.8,430436.7,22238.0
2035,25905.3,93496.0,288797.4,382293.4,408198.7,22238.0
2036,24553.7,88585.6,272821.3,361406.9,385960.7,22238.0
2037,23202.1,83675.2,256845.3,340520.5,363722.7,22238.0
2038,21850.6,78764.8,240869.3,319634.1,341484.7,22238.0
2039,20499.0,73854.4,224893.3,298747.7,319246.7,22238.0
2040,19147.4,68944.0,208917.2,277861.2,297008.7,22238.0
2041,17795.8,64033.6,192941.2,256974.8,274770.6,22238.0
2042,16444.2,59123.2,176965.2,236088.4,252532.6,22238.0
2043,15092.7,54212.8,160989.2,215202.0,230294.6,22238.0
2044,13741.1,49302.4,145013.1,194315.5,208056.6,22238.0
2045,12389.5,44392.0,129037.1,173429.1,185818.6,22238.0
2046,11037.9,39481.6,113061.1,152542.7,163580.6,22238.0
2047,9686.3,34571.2,97085.1,131656.3,141342.6,22238.0
2048,8334.8,29660.8,81109.0,110769.8,119104.6,22238.0
2049,6983.2,24750.4,65133.0,89883.4,96866.6,22238.0
2050,5631.6,19840.0,49157.0,68997.0,74628.6,22238.0
